Code	Name	Purchase Price	Tax	Retail Price	Category Code
A341	Má c?	0	0	65000	12
A342	Dây phanh	0	0	65000	12
A343	Dây Ga	0	0	65000	12
A344	Dây công t? mét	0	0	65000	12
A345	Má c?	0	0	65000	13
A346	Dây phanh	0	0	65000	13
A347	Dây Ga	0	0	65000	13
A348	Dây công t? mét	0	0	65000	13
A349	Má c?	0	0	65000	14
A350	Dây phanh	0	0	65000	14
A351	Dây Ga	0	0	65000	14
A352	Dây công t? mét	0	0	65000	14
A353	Dây phanh	0	0	65000	17
A354	Dây Ga	0	0	65000	17
A355	Dây công t? mét	0	0	65000	17
A356	S?m 225/250-17	0	0	65000	19
A357	Dây phanh	0	0	65000	30
A358	Dây Ga	0	0	65000	30
A359	Dây công t? mét	0	0	65000	30
A360	Dây công t? mét	0	0	65000	31
A361	Má c?	0	0	65000	38
A362	Dây phanh	0	0	65000	38
A363	Dây Ga	0	0	65000	38
A364	Dây công t? mét	0	0	65000	38
A365	Bánh t? trung gian	0	0	70000	13
A366	Bóng h?u ( 1 qu?)	0	0	70000	29
A367	Gi?m gi?t bánh sau	0	0	75000	4
A368	Tay phanh 	0	0	75000	5
A369	Gi?m gi?t bánh sau	0	0	75000	5
A370	?? chân tr??c	0	0	75000	5
A371	Ch?i Than	0	0	75000	5
A372	Bát bi ??	0	0	75000	5
A373	Dây công t? mét	0	0	75000	8
A374	Dây công t? mét	0	0	75000	9
A375	Gi?m gi?t bánh sau	0	0	75000	11
A376	Gi?m gi?t bánh sau	0	0	75000	12
A377	Gi?m gi?t bánh sau	0	0	75000	13
A378	Gi?m gi?t bánh sau	0	0	75000	13
A379	Má ??a	0	0	75000	17
A380	Tay phanh	0	0	75000	30
A381	Má ??a	0	0	75000	30
A382	Má ??a	0	0	75000	31
A383	Dây công t? mét	0	0	75000	36
A384	Gi?m gi?t bánh sau	0	0	75000	38
A385	Công t?c Phanh tay	0	0	80000	1
A386	Công t?c Pha c?t	0	0	80000	1
A387	Công t?c ?èn	0	0	80000	1
A388	Công t?c Phanh tay	0	0	80000	2
A389	Công t?c Pha c?t	0	0	80000	2
A390	Bi banh   	0	0	80000	4
A391	Bi banh   	0	0	80000	5
A392	Bi banh   	0	0	80000	6
A393	Bi banh   	0	0	80000	8
A394	Bi nhông 6004 	0	0	80000	9
A395	Bi banh   	0	0	80000	9
A396	Công t?c Phanh tay	0	0	80000	10
A397	Công t?c Pha c?t	0	0	80000	10
A398	Bi banh   	0	0	80000	11
A399	Bi banh   	0	0	80000	12
A400	Phot git	0	0	80000	13
A401	Bi banh   	0	0	80000	13
A402	Bi banh   	0	0	80000	14
