Code,Name,Purchase Price,Tax,Retail Price,Category Code
A289,Bi 203 ( vòng),0,0,45000,19
A290,Bóng xin nhan,0,0,45000,29
A291,Bi nhông   ,0,0,45000,38
A292,Công tắc Đề,0,0,50000,1
A293,Công tắc Còi,0,0,50000,1
A294,Công tắc Còi,0,0,50000,2
A295,Công tắc Còi,0,0,50000,10
A296,Công tắc Còi,0,0,50000,15
A297,Công tắc Còi,0,0,50000,18
A298,Ép vành nan,0,0,50000,19
A299,Công tắc Còi,0,0,50000,20
A300,Công tắc Còi,0,0,50000,21
A301,Công tắc Còi,0,0,50000,22
A302,Công tắc Còi,0,0,50000,27
A303,Công tắc Còi,0,0,50000,28
A304,Công tắc Còi,0,0,50000,32
A305,Công tắc Đề,0,0,50000,35
A306,Công tắc Còi,0,0,50000,35
A307,Công tắc Còi,0,0,50000,37
A308,Dây Ga,0,0,55000,4
A309,Dây công tơ mét,0,0,55000,4
A310,Dây Ga,0,0,55000,5
A311,Dây công tơ mét,0,0,55000,5
A312,Dây Ga,0,0,55000,6
A313,Dây công tơ mét,0,0,55000,6
A314,Bi nhông   ,0,0,55000,8
A315,Bi nhông   ,0,0,55000,14
A316,Bi nhông   ,0,0,55000,17
A317,Buzzi CN,0,0,55000,19
A318,Bi 6004 ( vòng),0,0,55000,19
A319,Bi nhông   ,0,0,55000,30
A320,Bi nhông   ,0,0,55000,31
A321,Bi nhông   ,0,0,55000,36
A322,Bóng đèn pha,0,0,60000,4
A323,Phớt nhông,0,0,60000,9
A324,Bóng đèn pha,0,0,60000,11
A325,Bóng đèn pha,0,0,60000,12
A326,Bóng đèn pha,0,0,60000,14
A327,Bóng xin nhan,0,0,60000,25
A328,Bóng đèn pha,0,0,60000,30
A329,Má cơ,0,0,65000,4
A330,Dây phanh,0,0,65000,4
A331,Má đĩa,0,0,65000,5
A332,Má cơ,0,0,65000,5
A333,Dây phanh,0,0,65000,5
A334,Bi đề Wase Dream,0,0,65000,5
A335,Má cơ,0,0,65000,6
A336,Giảm giật bánh sau,0,0,65000,6
A337,Má cơ,0,0,65000,11
A338,Dây phanh,0,0,65000,11
A339,Dây Ga,0,0,65000,11
A340,Dây công tơ mét,0,0,65000,11
A341,Má cơ,0,0,65000,12
A342,Dây phanh,0,0,65000,12
A343,Dây Ga,0,0,65000,12
A344,Dây công tơ mét,0,0,65000,12
A345,Má cơ,0,0,65000,13
A346,Dây phanh,0,0,65000,13
A347,Dây Ga,0,0,65000,13
A348,Dây công tơ mét,0,0,65000,13
A349,Má cơ,0,0,65000,14
A350,Dây phanh,0,0,65000,14
A351,Dây Ga,0,0,65000,14
A352,Dây công tơ mét,0,0,65000,14
A353,Dây phanh,0,0,65000,17
A354,Dây Ga,0,0,65000,17
